PARTICIPANT_ID,ADDRESS_LINE_1,ADDRESS_LINE_2,ADDRESS_LINE_3,TOWN_NAME,POSTCODE,EMAIL,LAST_NAME,MIDDLE_NAME,FIRST_NAME,PREFERENCE_LANGUAGE,PREFERENCE_CONTACT,PRINT_OPTION,TEST_QUESTIONS,COHORT_TYPE,SWAB_TEST_BARCODE,BLOOD_TEST_BARCODE,COLLEX_OPEN_DATE,COLLEX_CLOSE_DATE
1234567891011121,English questions only post,E Street,An Area,E Town,P05 C0D3,,Jones,Questions Only,Deepu,EN,Post,Standard,T,Q,,,08 Jan 2023,28 Jan 2023
1234567891011122,English questions only post,F Street,An Area,F Town,P05 C0D3,Edgecase@test.com,Jones,Questions Only,Vinny,EN,Post,Standard,F,Q,,,08 Jan 2023,28 Jan 2023
1234567891011123,Welsh questions only post,G Street,An Area,G Town,P05 C0D3,,Jones,,Mivansh,CY,Post,Standard,F,Q,,,08 Jan 2023,28 Jan 2023
1234567891011124,Welsh questions only post,H Street,An Area,H Town,P05 C0D3,,Jones,Questions Only,Hanshal,CY,Post,Standard,T,Q,,,08 Jan 2023,28 Jan 2023
1234567891011125,English questions only post Large,A Street,An Area,A Town,P05 C0D3,,Jones,Questions Only,Tom,EN,Post,Large Print,T,Q,,,08 Jan 2023,28 Jan 2023
1234567891011126,Welsh questions only post Large,B Street,An Area,B Town,P05 C0D3,,Jones,Questions Only,Cam,CY,Post,Large Print,F,Q,,,08 Jan 2023,28 Jan 2023
1234567891011127,English swab and questions email,M Street,An Area,M Town,P05 C0D3,swab@english.com,Smith,Swab and Questions,Phani,EN,Email,Standard,T,QS,SWT52345678,,08 Jan 2023,28 Jan 2023
1234567891011128,English swab and questions email,N Street,An Area,N Town,P05 C0D3,swab@english.com,Smith,Swab and Questions,Tiny,EN,Email,Standard,F,QS,SWT62345678,,08 Jan 2023,28 Jan 2023
1234567891011129,Welsh swab and questions email,O Street,An Area,O Town,P05 C0D3,swab@welsh.com,Smith,Swab and Questions,Eswar,CY,Email,Standard,F,QS,SWT72345678,,08 Jan 2023,28 Jan 2023
1234567891011110,Welsh swab and questions email,P Street,An Area,P Town,P05 C0D3,swab@welsh.com,Smith,Swab and Questions,Adam,CY,Email,Standard,T,QS,SWT82345678,,08 Jan 2023,28 Jan 2023
1234567891011111,English questions only email,Q Street,An Area,Q Town,P05 C0D3,questionnaire@english.com,Jones,Questions Only,Liam,EN,Email,Standard,T,Q,,,08 Jan 2023,28 Jan 2023
1234567891011112,English questions only email,R Street,An Area,R Town,P05 C0D3,questionnaire@english.com,Jones,Questions Only,Ravi,EN,Email,Standard,F,Q,,,08 Jan 2023,28 Jan 2023
1234567891011113,Welsh questions only email,S Street,An Area,S Town,P05 C0D3,questionnaire@welsh.com,Jones,Questions Only,Arjun,CY,Email,Standard,F,Q,,,08 Jan 2023,28 Jan 2023
1234567891011114,Welsh questions only email,T Street,An Area,T Town,P05 C0D3,questionnaire@welsh.com,Jones,Questions Only,Dave,CY,Email,Standard,T,Q,,,08 Jan 2023,28 Jan 2023
1123456789101115,English Swab Blood and Questions only email,U Street,An Area,U Town,P05 C0D3,swabbloodquestionnaire@english.com,Jones,Questions Blood Swab,Nihal,EN,Email,Standard,T,QSB,SWT52345278,BLT87654325,08 Jan 2023,28 Jan 2023
1234567891011116,English Swab Blood and Questions only email,V Street,An Area,V Town,P05 C0D3,swabbloodquestionnaire@english.com,Jones,Questions Blood Swab,Anand,EN,Email,Standard,F,QSB,SWT52345378,BLT87654326,08 Jan 2023,28 Jan 2023
1234567891011117,Welsh Swab Blood and Questions only email,W Street,An Area,W Town,P05 C0D3,swabbloodquestionnaire@welsh.com,Jones,Questions Blood Swab,Dave,CY,Email,Standard,F,QSB,SWT52345478,BLT87654327,08 Jan 2023,28 Jan 2023
1234567891011118,Welsh Swab Blood and Questions only email,X Street,An Area,X Town,P05 C0D3,swabbloodquestionnaire@welsh.com,Jones,Questions Blood Swab,Patrick,CY,Email,Standard,T,QSB,SWT52345578,BLT87654328,08 Jan 2023,28 Jan 2023
